,beta
2023-06-08,0.86664931291659
2023-06-09,0.9347450094116203
2023-06-12,0.9819966319060053
2023-06-13,0.9815646627602612
2023-06-14,1.0187001274394698
2023-06-15,1.0455487222388276
2023-06-16,0.8747428821332225
2023-06-20,0.9567203153838035
2023-06-21,0.9176861061915806
2023-06-22,0.9980901801401705
2023-06-23,0.9940201343019731
2023-06-26,0.9255066195921147
2023-06-27,0.9825135956606146
2023-06-28,0.960199209851376
2023-06-29,0.9836145885859946
2023-06-30,0.919247034903806
2023-07-03,0.9278147849826667
2023-07-05,0.8668676238413955
2023-07-06,0.95337828292157
2023-07-07,0.980420615867854
2023-07-10,0.9542493322172683
2023-07-11,1.0630861089566987
2023-07-12,0.9146806060496885
2023-07-13,0.941201242597843
2023-07-14,0.9877788765147968
2023-07-17,1.0631343122575985
2023-07-18,1.0579146634072385
2023-07-19,1.0394793918889165
2023-07-20,0.7586791325857576
2023-07-21,0.779252721986503
2023-07-24,0.7841984686245672
2023-07-25,0.691988337468633
2023-07-26,0.846835365987483
2023-07-27,0.8902419974568775
2023-07-28,0.6513161691531318
2023-07-31,0.644556251961368
2023-08-01,0.5740455287597038
2023-08-02,0.638574488253495
2023-08-03,0.6815805161373832
2023-08-04,0.7029813306511762
2023-08-07,0.7885821203203873
2023-08-08,0.8146800697976314
2023-08-09,0.7825648885163992
2023-08-10,0.7588845516794962
2023-08-11,0.9212116686501608
2023-08-14,0.8188860805813273
2023-08-15,0.8724630842407517
2023-08-16,0.9582106529902494
2023-08-17,0.9754824243202742
2023-08-18,0.9716211034163625
2023-08-21,0.7921679477058953
2023-08-22,0.7777109883018148
2023-08-23,0.8914872242513278
2023-08-24,0.832510913294327
2023-08-25,0.8547494320746869
2023-08-28,0.8932822117968553
2023-08-29,0.8784821240364631
2023-08-30,0.8856686370096084
2023-08-31,0.8474509389810553
2023-09-01,0.8378256550716165
2023-09-05,0.8948268053264723
2023-09-06,0.8225366385444491
2023-09-07,0.8076169142693481
2023-09-08,0.7845424108808746
2023-09-11,0.7634135815478964
2023-09-12,0.7350003908354085
2023-09-13,0.5680739880502053
2023-09-14,0.7338157779117909
2023-09-15,0.8028352361260097
2023-09-18,0.7759585901875484
2023-09-19,0.7477865073759766
2023-09-20,0.7669260474177434
2023-09-21,0.8822507231513613
2023-09-22,0.8915146069247885
2023-09-25,0.8924540966106614
2023-09-26,0.9325504234208143
2023-09-27,0.9688027110951978
2023-09-28,0.9686584842579212
2023-09-29,0.9777321180963601
2023-10-02,0.9245994106051892
2023-10-03,0.9357378999069002
2023-10-04,0.9951253160235751
2023-10-05,1.0125650349883246
2023-10-06,1.0117205427292844
2023-10-09,1.0314952865896418
2023-10-10,1.0840663746281158
2023-10-11,1.087271244648626
2023-10-12,1.1011359689332036
2023-10-13,1.0564490413482475
2023-10-16,1.0515630063142207
2023-10-17,1.0208775848175464
2023-10-18,1.0336690294183368
2023-10-19,1.0825181640127528
2023-10-20,1.0949772463246337
2023-10-23,1.0954221151138925
2023-10-24,1.080690280484899
2023-10-25,1.1012205843877332
2023-10-26,1.019795597498433
2023-10-27,1.0168903288248035
2023-10-30,0.9658090745352986
2023-10-31,1.0013604321728404
2023-11-01,0.9880734060531688
2023-11-02,0.9756269374620317
2023-11-03,1.0117692303968981
2023-11-06,1.0010989831906456
2023-11-07,0.9989715839709101
2023-11-08,0.9654377540751842
2023-11-09,1.1600538086235612
2023-11-10,1.0454600765508864
2023-11-13,1.0390058449762267
2023-11-14,1.0507163109710012
2023-11-15,1.0541266536790692
2023-11-16,1.066453371204856
2023-11-17,0.9987860001681813
2023-11-20,0.9757489554396556
2023-11-21,0.955076350639467
2023-11-22,0.9503573005398319
2023-11-24,0.8908264522378362
2023-11-27,0.9626656750997628
2023-11-28,0.9769986177691479
2023-11-29,0.6726193623764084
2023-11-30,0.7656317506543295
2023-12-01,0.8957424238251753
2023-12-04,0.8597034676173325
2023-12-05,1.1059274615773873
2023-12-06,1.1269595838064634
2023-12-07,1.015523634461708
2023-12-08,0.989807629201469
2023-12-11,1.0492230686476836
2023-12-12,1.0173980671180678
2023-12-13,1.0284398993077664
2023-12-14,1.0238308996739014
2023-12-15,1.027781950162988
2023-12-18,1.1091210291617957
2023-12-19,0.9993522252543633
2023-12-20,1.0918332853024648
2023-12-21,1.1150731478752123
2023-12-22,1.1143681199634348
2023-12-26,1.1074333959506153
2023-12-27,1.108059654382154
2023-12-28,1.1160742725375756
2023-12-29,1.100267352039978
2024-01-02,1.071871558473848
2024-01-03,1.1577549384604289
2024-01-04,1.1566476001218862
2024-01-05,1.1453285738896437
2024-01-08,0.9300205140647615
2024-01-09,0.9372457712580644
2024-01-10,0.8657043319736143
2024-01-11,0.8612705930239258
2024-01-12,0.8596559577205242
2024-01-16,0.8554293424378573
2024-01-17,0.8673377276639092
2024-01-18,0.7669889894880921
2024-01-19,0.8901646744260335
2024-01-22,0.9011860118883681
2024-01-23,0.8913581831852045
2024-01-24,0.8858094395155001
2024-01-25,0.9615576338415208
2024-01-26,0.8903174505228878
2024-01-29,0.9217344872035204
2024-01-30,0.8940677988545201
2024-01-31,0.7741415911148112
2024-02-01,0.8143448499961173
2024-02-02,0.6832208652173432
2024-02-05,0.7517790217416762
2024-02-06,0.7568977851778528
2024-02-07,0.7441928285437459
2024-02-08,0.7239475855713935
2024-02-09,0.7473988797939093
2024-02-12,0.7058046967874833
2024-02-13,0.7951334667938273
2024-02-14,0.9344347237420351
2024-02-15,0.9583766532475845
2024-02-16,1.1216165741777302
2024-02-20,1.0388488589860152
2024-02-21,1.0400865751802202
2024-02-22,0.8783875725040629
2024-02-23,0.8767982343705989
2024-02-26,0.8768672619869208
2024-02-27,0.8848815996302909
2024-02-28,0.7542249463044616
2024-02-29,0.7254449807200309
2024-03-01,0.7084101031899249
2024-03-04,0.6429708947954372
2024-03-05,0.6558315120261273
2024-03-06,0.6643674159829953
2024-03-07,0.7231346781108711
2024-03-08,0.7356484603374465
2024-03-11,0.7142207120562909
2024-03-12,0.6104679471986978
2024-03-13,0.6367059099380619
2024-03-14,0.674603324276225
2024-03-15,0.6153268799180599
2024-03-18,0.6241728628121941
2024-03-19,0.582943305673724
2024-03-20,0.6250217664904114
2024-03-21,0.6597771036164294
2024-03-22,0.741861869321624
2024-03-25,0.7120436317426221
2024-03-26,0.8478159105406489
2024-03-27,0.9388811514956878
2024-03-28,0.8532857175332597
2024-04-01,1.0488187496704826
2024-04-02,1.1209307327493925
2024-04-03,1.1776469949423871
2024-04-04,1.1977961404150517
2024-04-05,1.1185090806071663
2024-04-08,1.1085164428685328
2024-04-09,1.1294884031131414
2024-04-10,1.1479112872042008
2024-04-11,1.014832880070079
2024-04-12,1.0482389645260963
2024-04-15,1.0008530587714755
2024-04-16,0.9979079798227375
2024-04-17,0.9758405292701863
